title,budget,revenue,profit
Resident Evil: Apocalypse,45000000,129394835,84394835
The Holiday,85000000,194168700,109168700
Head of State,35200000,37788228,2588228
Secret Window,40000000,92913171,52913171
The Sisterhood of the Traveling Pants,25000000,39053061,14053061
Bring It On,28000000,90449929,62449929
Detroit Rock City,6500000,4217115,-2282885
Nirgendwo in Afrika,0,0,0
Lords of Dogtown,25000000,13411957,-11588043
Meet the Parents,55000000,330444045,275444045
The Hills Have Eyes,15000000,69623713,54623713
Employee of the Month,12000000,38368909,26368909
Bridget Jones: The Edge of Reason,40000000,262500000,222500000
Lisa Picard Is Famous,0,112521,112521
Cloud Atlas,102000000,130482868,28482868
Bedazzled,48000000,90383208,42383208
United 93,15000000,76286096,61286096
The Phantom of the Opera,70000000,154648887,84648887
Happy Feet,100000000,384335608,284335608
एबीसीडी,0,222000,222000
Beyond Borders,35000000,0,-35000000
Good Intentions,0,0,0
My Favorite Martian,65000000,36850101,-28149899
Gossip,14000000,5108820,-8891180
R.L. Stine's Monsterville: The Cabinet of Souls,4400000,0,-4400000
Middle of Nowhere,2000000,2368060,368060
Forgetting Sarah Marshall,30000000,105173115,75173115
Martha Marcy May Marlene,0,3538446,3538446
Interstellar,165000000,675120017,510120017
Nueve reinas,1300000,12413888,11113888
Le Nom des gens,4600000,0,-4600000
Shallow Hal,40000000,141069860,101069860
Sleepover,10000000,10143022,143022
Rat Race,48000000,85498534,37498534
The Producers,45000000,38058335,-6941665
The Hoax,25000000,11772461,-13227539
The Ant Bully,50000000,55181129,5181129
Barnyard,51000000,116476887,65476887
All the King's Men,55000000,9450897,-45549103
The World's Fastest Indian,25000000,0,-25000000
The Skeleton Key,43000000,93983911,50983911
Captain Corelli's Mandolin,57000000,62112895,5112895
Higher Ground,2000000,841733,-1158267
The Incredible Hulk,150000000,163712074,13712074
The Last Sin Eater,0,0,0
Iron Man,140000000,585174222,445174222
The Forbidden Kingdom,55000000,127906624,72906624
The Mummy Returns,98000000,443280904,345280904
The Mummy: Tomb of the Dragon Emperor,145000000,403449830,258449830
Dumb and Dumber To,40000000,169837010,129837010
The Spectacular Now,2500000,6854611,4354611
Analyze That,60000000,55003135,-4996865
Hannah Montana: The Movie,35000000,155545279,120545279
Taking Woodstock,30000000,9975737,-20024263
The Fault in Our Stars,12000000,307166834,295166834
End of Days,100000000,211989043,111989043
Rescue Dawn,10000000,7177143,-2822857
The Forest,10000000,37608299,27608299
Romance,0,1314053,1314053
Blades of Glory,53000000,0,-53000000
Ted 2,68000000,215863606,147863606
Tower Heist,75000000,152930623,77930623
The Words,6000000,13231461,7231461
The Boy,10000000,64188367,54188367
Premonition,20000000,84146832,64146832
Land of the Lost,100000000,68688831,-31311169
An Inconvenient Truth,1000000,46243000,45243000
Max Keeble's Big Move,25000000,18634654,-6365346
Charlotte's Web,85000000,144000000,59000000
Beerfest,17500000,19179969,1679969
Antitrust,30000000,18195610,-11804390
Mean Machine,0,0,0
Paa,3250000,0,-3250000
The Rules of Attraction,4000000,0,-4000000
From Paris with Love,52000000,52826594,826594
Brooklyn's Finest,17000000,45719985,28719985
An American Haunting,14000000,29612137,15612137
Ghosts of Mars,28000000,14010832,-13989168
Lord of War,50000000,72617068,22617068
The Next Best Thing,25000000,24362772,-637228
Dogma,10000000,31429330,21429330
High Heels and Low Lifes,0,0,0
On the Road,25000000,8784318,-16215682
Man on the Moon,82000000,47434430,-34565570
Agora,70000000,39041505,-30958495
World Trade Center,65000000,163247198,98247198
Dreaming of Joseph Lees,2000000,7,-1999993
Joan of Arc,85000000,66976317,-18023683
The Twilight Saga: New Moon,50000000,709827462,659827462
The Proposal,40000000,317375031,277375031
Transformers,150000000,709709780,559709780
Get Over It,22000000,0,-22000000
The Marine 4: Moving Target,1950000,0,-1950000
When a Stranger Calls,15000000,66966987,51966987
Get Rich or Die Tryin',40000000,46442528,6442528
The Shaggy Dog,50000000,61112916,11112916
Feast,3200000,658573,-2541427
Enter the Void,13000000,754249,-12245751
Date Movie,20000000,48548426,28548426
Oblivion,120000000,286168572,166168572
A Single Man,7000000,24964890,17964890
Triangle,12000000,1594955,-10405045
Hoot,0,0,0
Star Wars: Episode I - The Phantom Menace,115000000,924317558,809317558
Star Wars: Episode II - Attack of the Clones,120000000,649398328,529398328
The Vatican Tapes,13000000,1784763,-11215237
Oculus,5000000,44459951,39459951
13 Going on 30,37000000,96455697,59455697
The Beach,40000000,144056873,104056873
Red Lights,14000000,13551174,-448826
The Last Shot,0,0,0
Mar adentro,12806000,38535221,25729221
Stick It,0,0,0
Now You See Me,75000000,351723989,276723989
The Virginity Hit,2000000,563706,-1436294
The Amazing Spider-Man,215000000,757930663,542930663
October Baby,1000000,5396618,4396618
Act of Valor,12000000,81272766,69272766
An Unfinished Life,30000000,18618284,-11381716
Crank,12000000,42931041,30931041
Manderlay,14200000,674918,-13525082
The Butterfly Effect,13000000,96060858,83060858
Bad Santa,23000000,76488889,53488889
Gerry,3500000,0,-3500000
Dumb and Dumberer: When Harry Met Lloyd,19000000,39267515,20267515
The Grudge,10000000,183474602,173474602
The Country Bears,35000000,18012097,-16987903
Half Past Dead,13000000,19233280,6233280
Night at the Museum: Battle of the Smithsonian,150000000,413106170,263106170
The Constant Gardener,25000000,82466670,57466670
Frozen River,1000000,5457664,4457664
He's Just Not That Into You,40000000,178866158,138866158
The Midnight Meat Train,15000000,3533227,-11466773
Lara Croft: Tomb Raider,115000000,274703340,159703340
Pineapple Express,27000000,101624843,74624843
Get on Up,30000000,33448971,3448971
In the Bedroom,1700000,0,-1700000
Shrek Forever After,165000000,752600867,587600867
We Own the Night,21000000,54926886,33926886
Defendor,3500000,44462,-3455538
The Best of Me,26000000,35926213,9926213
Thor,150000000,449326618,299326618
The Last Airbender,150000000,319713881,169713881
The Princess and the Frog,105000000,270997378,165997378
"4 luni, 3 săptămîni și 2 zile",852510,1185783,333273
Bedtime Stories,80000000,212874864,132874864
Message in a Bottle,80000000,118880016,38880016
Muppets from Space,24000000,22300000,-1700000
The Wedding Planner,35000000,94728529,59728529
Time to Choose,3500000,0,-3500000
Hidalgo,100000000,108103450,8103450
Epic,100000000,268426634,168426634
Mr. Deeds,50000000,171269535,121269535
Hostage,52000000,77944725,25944725
Snow Falling on Cedars,35000000,0,-35000000
Summer Catch,34000000,19693891,-14306109
Haute tension,0,6291958,6291958
The Lake House,40000000,114830111,74830111
The Losers,25000000,23580000,-1420000
"I, Robot",120000000,347234916,227234916
The Station Agent,500000,8679814,8179814
디 워,32000000,75108998,43108998
Ratatouille,150000000,623726000,473726000
Silent House,2000000,13101672,11101672
Birthday Girl,13000000,0,-13000000
Romeo Must Die,25000000,91036760,66036760
Summer of Sam,22000000,19288130,-2711870
Aberdeen,0,0,0
Fido,8000000,426224,-7573776
Frat Party,0,0,0
This Is Where I Leave You,19800000,41296320,21496320
Payback,90000000,161626121,71626121
Womb,3100000,0,-3100000
Ghostbusters,144000000,229147509,85147509
Final Fantasy: The Spirits Within,137000000,85131830,-51868170
Stigmata,29000000,50041732,21041732
Gamer,50000000,40828540,-9171460
She's All That,10000000,103166989,93166989
The Ides of March,12500000,76338111,63838111
The Ring Two,50000000,161451538,111451538
Gunless,10000000,0,-10000000
My Baby's Daddy,12000000,18490423,6490423
Freaky Friday,26000000,110230332,84230332
Drive Hard,12000000,0,-12000000
The Cry of the Owl,11500000,0,-11500000
Zoolander 2,50000000,55969000,5969000
Reindeer Games,42000000,32168970,-9831030
Two Lovers,9800000,16303643,6503643
The Glass House,30000000,23619609,-6380391
"Food, Inc.",0,0,0
Lost Souls,50000000,31355910,-18644090
The Young and Prodigious T.S. Spivet,33000000,9494789,-23505211
The Limey,10000000,3193102,-6806898
Death at a Funeral,9,8,-1
A Most Wanted Man,15000000,31554855,16554855
Angela's Ashes,50000000,13042112,-36957888
Double Jeopardy,70000000,177841558,107841558
16 Blocks,55000000,65664721,10664721
Deuce Bigalow: Male Gigolo,17000000,65535067,48535067
Aimee & Jaguar,0,0,0
Brigham City,1000000,852206,-147794
What Planet Are You From?,60000000,0,-60000000
"Lovely, Still",0,0,0
No Man's Land: The Rise of Reeker,2000000,0,-2000000
Friday After Next,20000000,33526835,13526835
Rocket Singh: Salesman of the Year,1250000,0,-1250000
War,25000000,40452643,15452643
A Dog's Breakfast,120000,0,-120000
Unfaithful,50000000,119137784,69137784
Eastern Promises,51500000,56106607,4606607
Chicago Overcoat,3200000,0,-3200000
Bachelorette,3000000,11947954,8947954
Beasts of the Southern Wild,1800000,21107746,19307746
Show Me,0,0,0
B-Girl,0,0,0
28 Days,43000000,6219894,-36780106
Down to You,9000000,0,-9000000
"For a Good Time, Call...",850000,1243961,393961
Date Night,55000000,152263880,97263880
Cold Mountain,79000000,173013509,94013509
102 Dalmatians,85000000,183611771,98611771
Foodfight!,65000000,73706,-64926294
Jay and Silent Bob Strike Back,22000000,33788161,11788161
Shame,6500000,3909002,-2590998
Drop Dead Gorgeous,10000000,10571408,571408
Bats,0,10155690,10155690
Inkheart,60000000,62803180,2803180
In the Name of the King: A Dungeon Siege Tale,60000000,0,-60000000
The Sound and the Shadow,0,0,0
Bending Steel,0,0,0
Madagascar: Escape 2 Africa,150000000,603900354,453900354
Sherlock Holmes,90000000,524028679,434028679
Mercy Streets,600000,173599,-426401
ராமானுஜன்,0,0,0
Fast Five,125000000,626137675,501137675
L.I.E.,700000,1667192,967192
The Lizzie McGuire Movie,17000000,55534455,38534455
Reign Over Me,20000000,22222308,2222308
The DUFF,8500000,43528634,35028634
Sicko,9000000,24538513,15538513
The Call,13000000,68572378,55572378
Shark Tale,75000000,367275019,292275019
Frequency,31000000,68106245,37106245
The Purge,3000000,89328627,86328627
Small Time Crooks,0,0,0
Boys and Girls,16000000,20627372,4627372
Love & Other Drugs,30000000,102820008,72820008
Horrible Bosses,35000000,209838559,174838559
After the Sunset,60000000,61347797,1347797
We Were Soldiers,75000000,114660784,39660784
The Girl Next Door,21000000,31635150,10635150
Hart's War,70000000,32287044,-37712956
Robot & Frank,2500000,3325038,825038
The Medallion,41000000,0,-41000000
Highway,14000000,0,-14000000
Cradle 2 the Grave,25000000,56489558,31489558
Wordplay,0,0,0
Mean Girls,17000000,129042871,112042871
The Expendables 2,100000000,314975955,214975955
Prom,8000000,10130000,2130000
Veronica Guerin,17000000,9439660,-7560340
Your Sister's Sister,125000,3242802,3117802
Double Take,24000000,31600000,7600000
Remember the Titans,30000000,136706683,106706683
The Sorcerer's Apprentice,150000000,215283742,65283742
Saint John of Las Vegas,3800000,111731,-3688269
The Missing Person,0,17896,17896
The Chronicles of Narnia: Prince Caspian,225000000,419665568,194665568
The White Countess,0,0,0
The Lost Skeleton of Cadavra,0,0,0
Beneath Hill 60,7347125,0,-7347125
H.,0,0,0
Bernie,5000000,9206470,4206470
Eragon,100000000,249288105,149288105
The Bourne Ultimatum,70000000,442824138,372824138
Glitter,22000000,5271666,-16728334
The Homesman,16000000,3442853,-12557147
The Squid and the Whale,1500000,11098131,9598131
Ex Machina,15000000,36869414,21869414
